入账日期,业务品牌,总品类,品类,产品标准名称,SellIn_quantity,SellIn_return_amount,SellIn_amount
2022/1/1 0:00:00,SK,Care,Extra Care,施华蔻多效修护洗发露600ml,12,-115.75,1308.0
2022/1/1 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露600ml*12,24,-83.88,3816.0
2022/1/1 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养洗发露600ml,24,-252.74,3816.0
2022/1/1 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 控油型 600ml*12,24,-252.74,2856.0
2022/1/1 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 舒缓型 600ml*12,36,-283.9,4284.0
2022/1/1 0:00:00,SK,Care,Extra Care,施华蔻水光弹润润发乳600ml,12,-80.17,1308.0
2022/1/1 0:00:00,SK,Care,Extra Care,施华蔻羊绒脂滋养洗发露600ml,60,-80.17,6540.0
2022/1/1 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 420ml - Y24,12,-41.94,708.0
2022/1/1 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 680ml - Y24,72,-188.49,5688.0
2022/1/1 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护洗发露 680ml,9,-62.92,711.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4.5-68,12,-73.11,1068.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳6-11/9,12,-168.85,1068.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳9.5-11,12,-97.75,1068.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.68号,12,-138.9,1308.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜2.0/9,24,-167.76999999999998,1896.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.0/9,72,-244.94,5688.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.68/9,36,-94.52,2844.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.88/9,24,-83.88,1896.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.0/9,12,-41.94,948.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.08/9,12,-41.94,948.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.7/9,36,-235.51999999999998,2844.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.89/9,12,-41.94,948.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.9/9,12,-41.94,948.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜468,12,-80.17,1428.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜5.0/9,24,-236.65,1896.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜2.0号,24,-295.24,2856.0
2022/1/1 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜3.06,12,-168.87,1428.0
2022/1/1 0:00:00,SK,Styling,Styling,got2b酷印强持久发胶250ml*12,12,-80.17,828.0
2022/1/1 0:00:00,SK,Styling,Styling,丝蕴持久定型强力定型喷发胶300ML*12,72,-211.76,3528.0
2022/1/1 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型定型喷发胶180ML*12,24,-97.75,912.0
2022/1/1 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型劲强啫喱膏180ML*12,12,-23.57,336.0
2022/1/1 0:00:00,SK,Styling,Styling,丝蕴盈润魅卷空气感润卷弹力素150ml,12,-314.61,345.6
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻氨基酸赋活修护洗发露600ml,24,-543.1899999999999,3816.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻多效修护润发乳600ml,12,-80.17,1308.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻多效修护洗发露600ml,72,-453.45000000000005,7848.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护精华液50ml*12,36,-125.82,4284.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露（女士适用）400ML*12,36,-294.68,4284.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露600ml*12,72,-421.05,11448.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养润发乳600ml,24,-758.25,3816.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养洗发露600ml,84,-1980.6100000000001,13356.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻生姜精华润发乳 控油型 600ml*12,36,-551.24,4284.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 控油型 600ml*12,228,-1769.23,27132.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 舒缓型 600ml*12,168,-480.59000000000003,19992.0
2022/1/10 0:00:00,SK,Care,Extra Care,施华蔻羊绒脂滋养洗发露600ml,60,-82.03,6540.0
2022/1/10 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 420ml - Y24,240,-476.47999999999996,14160.0
2022/1/10 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 680ml - Y24,270,-731.6899999999999,21330.0
2022/1/10 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑润发乳 680ml,27,-566.29,2133.0
2022/1/10 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑洗发露 420ml,36,-250.62,2124.0
2022/1/10 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护洗发露 420ml,36,-250.63,2124.0
2022/1/10 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护洗发露 680ml,63,-1447.2,4977.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4.5-68,12,-73.11,1068.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4-02,12,-48.47,1068.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳5-68,72,-1139.49,6408.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳6-11/9,60,-365.54,5340.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳9.5-11,36,-240.74,3204.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝2.0号,12,-138.9,1308.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.0号,12,-151.64,1308.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜2.0/9,252,-1134.13,19908.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.0/9,240,-1329.21,18960.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.68/9,300,-536.8900000000001,23700.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.88/9,60,-419.43,4740.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.0/9,132,-335.53999999999996,10428.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.08/9,84,-251.64999999999998,6636.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.57/9,36,-484.73,2844.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.7/9,72,-294.13,5688.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.89/9,36,-125.82,2844.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.9/9,24,-83.88,1896.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜5.0/9,48,-507.64,3792.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜5.05/9号,12,-151.64,948.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜557号,12,-80.17,1428.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜568,12,-126.37,1428.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜3.06,24,-329.26,2856.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜4.6,24,-183.97,2856.0
2022/1/10 0:00:00,SK,Coloration,Coloration,施華蔻怡然植萃染髮霜4.0 自然棕,48,-225.7,5712.0
2022/1/10 0:00:00,SK,Styling,Styling,got2b酷印强持久发胶250ml*12,36,-156.95,2484.0
2022/1/10 0:00:00,SK,Styling,Styling,施华蔻GOT2B非凡绅士塑型发胶200ML*12,12,-97.75,828.0
2022/1/10 0:00:00,SK,Styling,Styling,施华蔻got2b非凡绅士塑型发蜡100g*12,36,-252.18,2124.0
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴持久定型强力定型喷发胶300ML*12,420,-936.59,20580.0
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴动感劲久亮泽定型发胶*12,12,-168.87,585.6
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴动感劲久蓬松定型发胶*12,48,-521.71,2342.4
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴精油莹润焕亮柔卷弹力素150ML*12,108,-172.62,3110.4
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型定型喷发胶180ML*12,60,-383.5,2280.0
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型劲强啫喱膏180ML*12,48,-189.05,1344.0
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴男士劲至塑型定型发胶180ML*12,96,-377.52,3648.0
2022/1/10 0:00:00,SK,Styling,Styling,丝蕴盈润魅卷空气感润卷弹力素150ml,96,-344.36,2764.8
2022/1/11 0:00:00,SK,Care,Extra Care,2018施华蔻多效修护19洗发露600ml*12,-36,844.34,-3204.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻氨基酸赋活修护洗发露600ml,-24,46.01,-3816.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻多效修护洗发露600ml,0,43.27999999999997,0.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护精华液50ml*12,12,-41.94,1428.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露（女士适用）400ML*12,24,-168.31,2856.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露600ml*12,36,-715.76,5724.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养润发乳600ml,24,-1137.37,3816.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养洗发露600ml,36,-294.19000000000005,5724.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻金纯盈润精油洗发露600ml,60,-463.02,6540.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻生姜精华润发乳 控油型 600ml*12,36,-720.1,4284.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 控油型 600ml*12,156,-1137.3600000000001,18564.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 舒缓型 600ml*12,108,-346.24,12852.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻水光弹润洗发露600ml,48,-276.09000000000003,5232.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻羊绒脂滋养润发乳600ml,12,-115.75,1308.0
2022/1/11 0:00:00,SK,Care,Extra Care,施华蔻羊绒脂滋养洗发露600ml,36,-240.52,3924.0
2022/1/11 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 420ml - Y24,96,-588.31,5664.0
2022/1/11 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 680ml - Y24,144,-2690.81,11376.0
2022/1/11 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑润发乳 680ml,18,-125.84,1422.0
2022/1/11 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑洗发露 680ml,9,-650.1999999999999,711.0
2022/1/11 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护润发乳 680ml,-9,125.84,-711.0
2022/1/11 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护洗发露 680ml,27,-440.45000000000005,2133.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4.5-68,12,-73.11,1068.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4-02,12,-48.47,1068.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳5-68,24,-675.42,2136.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳6-11/9,24,-410.82,2136.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳9.5-11,24,-192.26999999999998,2136.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.0号,12,-138.9,1308.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.65号,12,-126.37,1308.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜2.0/9,120,-503.33,9480.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.0/9,192,-587.23,15168.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.68/9,168,-197.65,13272.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.88/9,24,-83.88,1896.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜300,-12,62.92,-1428.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.0/9,60,-209.72,4740.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.08/9,48,25.819999999999993,3792.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.57/9,24,-125.82999999999998,1896.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.7/9,48,-125.82,3792.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.89/9,12,-41.94,948.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜468,12,-126.37,1428.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜5.0/9,24,-75.70000000000005,1896.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜5.05/9号,12,-151.64,948.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜3.06,12,2.3000000000000114,1428.0
2022/1/11 0:00:00,SK,Coloration,Coloration,施華蔻怡然植萃染髮霜4.0 自然棕,12,-168.87,1428.0
2022/1/11 0:00:00,SK,Styling,Styling,got2b酷印强持久发胶250ml*12,12,-62.43,828.0
2022/1/11 0:00:00,SK,Styling,Styling,施华蔻GOT2B非凡绅士塑型发胶200ML*12,12,-15.1,828.0
2022/1/11 0:00:00,SK,Styling,Styling,施华蔻got2b非凡绅士塑型发蜡100g*12,12,-15.1,708.0
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴持久定型强力定型喷发胶300ML*12,120,-116.97,5880.0
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴动感劲久亮泽定型发胶*12,12,-337.74,585.6
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴动感劲久蓬松定型发胶*12,24,-183.97,1171.2
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴精油莹润焕亮柔卷弹力素150ML*12,72,-212.1,2073.6000000000004
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型定型喷发胶180ML*12,60,-245.71999999999997,2280.0
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型劲强啫喱膏180ML*12,0,74.1,0.0
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴男士劲至塑型定型发胶180ML*12,48,-188.76,1824.0
2022/1/11 0:00:00,SK,Styling,Styling,丝蕴盈润魅卷空气感润卷弹力素150ml,108,-187.79000000000002,3110.3999999999996
2022/1/12 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护精华液50ml*12,12,-41.94,1428.0
2022/1/12 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 420ml - Y24,48,-83.88,2832.0
2022/1/12 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 680ml - Y24,27,-62.66,2133.0
2022/1/12 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑洗发露 420ml,12,-125.31,708.0
2022/1/12 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑洗发露 680ml,27,-251.69,2133.0
2022/1/12 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护润发乳 680ml,9,-125.31,711.0
2022/1/12 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护洗发露 680ml,9,-62.92,711.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4.5-68,12,-292.42,1068.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4-02,12,-48.47,1068.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳5-68,48,-126.37,4272.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳6-11/9,60,-334.36,5340.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳9.5-11,12,-48.47,1068.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.68号,12,-151.64,1308.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜2.0/9,24,-209.72,1896.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.0/9,24,-167.78,1896.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.68/9,84,-189.04,6636.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.88/9,12,-83.89,948.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.0/9,36,-125.83,2844.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.08/9,36,-83.88,2844.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.7/9,24,-83.88,1896.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.89/9,12,-41.94,948.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.9/9,24,-193.57999999999998,1896.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜468,12,-151.64,1428.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜5.0/9,12,-138.9,948.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜557号,24,-46.01,2856.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施華蔻怡然植萃染髮霜3.0 經典黑棕,24,-195.5,2856.0
2022/1/12 0:00:00,SK,Coloration,Coloration,施華蔻怡然植萃染髮霜4.0 自然棕,24,-146.22,2856.0
2022/1/12 0:00:00,SK,Styling,Styling,施华蔻got2b非凡绅士塑型发蜡100g*12,24,-195.5,1416.0
2022/1/12 0:00:00,SK,Styling,Styling,丝蕴精油莹润焕亮柔卷弹力素150ML*12,36,-172.97,1036.8000000000002
2022/1/12 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型劲强啫喱膏180ML*12,24,-23.65,672.0
2022/1/12 0:00:00,SK,Styling,Styling,丝蕴盈润魅卷空气感润卷弹力素150ml,24,-62.92,691.2
2022/1/13 0:00:00,SK,Care,Extra Care,2018施华蔻8金纯盈润精油洗发露600ml*12,-65,114.21000000000001,-6435.0
2022/1/13 0:00:00,SK,Care,Extra Care,2018施华蔻多效修护19精油套装*6,-32,440.51,-4096.0
2022/1/13 0:00:00,SK,Care,Extra Care,2018施华蔻多效修护19润发乳600ml*12,-138,128.12,-12696.0
2022/1/13 0:00:00,SK,Care,Extra Care,2018施华蔻多效修护19洗发露600ml*12,-90,869.06,-8010.0
2022/1/13 0:00:00,SK,Care,Extra Care,2018施华蔻辣木籽净透洗发露400ml*12,-70,246.17999999999998,-5320.0
2022/1/13 0:00:00,SK,Care,Extra Care,2018施华蔻羊绒脂滋养护发乳600ml*12,-22,-2931.38,-2024.0
2022/1/13 0:00:00,SK,Care,Extra Care,2018施华蔻羊绒脂滋养洗发水600ml*12,-29,276.27,-2581.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻多效修护润发乳600ml,-1,52.57,-109.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护精华液50ml*12,12,-41.94,1428.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露（女士适用）400ML*12,12,-126.37,1428.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露600ml*12,12,-126.37,1908.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养洗发露600ml,12,-379.12,1908.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养亚马逊红泥头皮清洁护理霜200ml*24,24,-138.9,3096.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻生姜精华润发乳 控油型 600ml*12,12,-97.75,1428.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 控油型 600ml*12,36,-73.11,4284.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻水光弹润洗发露600ml,0,3057.31,0.0
2022/1/13 0:00:00,SK,Care,Extra Care,施华蔻水凝胶原洗发露600ml*12,-28,138.53,-2492.0
2022/1/13 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 420ml - Y24,36,-83.89,2124.0
2022/1/13 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 680ml - Y24,8,-181.9,632.0
2022/1/13 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑润发乳 680ml,-1,13.97,-79.0
2022/1/13 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑洗发露 680ml,-5,159.26,-395.0
2022/1/13 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护润发乳 680ml,-2,6.98,-158.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳5-68,11,7.849999999999994,979.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳6-11/9,36,-188.86,3204.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳9.5-11,12,-146.21,1068.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝2.0号,12,-138.9,1308.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.0号,-1,80.98,-109.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.68号,24,-151.64,2616.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发摩丝3.86号,-7,12.2,-763.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜2.0/9,24,-83.89,1896.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜2.0闪亮珍珠黑 CN17 *12,-4,67.03,-316.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.0/9,24,-167.78,1896.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.0羊绒脂深棕 CN17 *12,-1,11.53,-79.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.68/9,48,-48.47,3792.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.88/9,12,-41.94,948.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜3.88摩卡深红棕 CN17 *12,-1,0.0,-79.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜300,12,-126.37,1428.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.0/9,12,-41.94,948.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.08/9,12,-41.94,948.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜4.7/9,12,-41.94,948.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然染发霜5.0/9,12,-138.9,948.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜3.06,12,-94.52,1428.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜4.1,-1,5.21,-119.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施华蔻怡然滋养染发霜4.6,-2,-152.36,-238.0
2022/1/13 0:00:00,SK,Coloration,Coloration,施華蔻怡然植萃染髮霜3.0 經典黑棕,12,-97.75,1428.0
2022/1/13 0:00:00,SK,Styling,Styling,got2b酷印强持久发胶250ml*12,-3,42.62,-207.0
2022/1/13 0:00:00,SK,Styling,Styling,施华蔻GOT2B非凡绅士塑型发胶200ML*12,-6,114.07,-414.0
2022/1/13 0:00:00,SK,Styling,Styling,施华蔻got2b非凡绅士塑型发蜡100g*12,12,-97.75,708.0
2022/1/13 0:00:00,SK,Styling,Styling,丝蕴持久定型强力定型喷发胶300ML*12,24,-23.65,1176.0
2022/1/13 0:00:00,SK,Styling,Styling,丝蕴精油莹润焕亮柔卷弹力素150ML*12,9,-39.120000000000005,259.20000000000005
2022/1/13 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型定型喷发胶180ML*12,-2,13.97,-76.0
2022/1/13 0:00:00,SK,Styling,Styling,丝蕴男士激强塑型劲强啫喱膏180ML*12,12,-273.97,336.0
2022/1/13 0:00:00,SK,Styling,Styling,丝蕴盈润魅卷空气感润卷弹力素150ml,24,-62.92,691.2
2022/1/14 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护精华液50ml*12,36,-125.82,4284.0
2022/1/14 0:00:00,SK,Care,Extra Care,施华蔻防落发调理修护洗发露600ml*12,12,-126.37,1908.0
2022/1/14 0:00:00,SK,Care,Extra Care,施华蔻丰盈韧养亚马逊红泥头皮清洁护理霜200ml*24,48,-398.96000000000004,6192.0
2022/1/14 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 控油型 600ml*12,24,-126.37,2856.0
2022/1/14 0:00:00,SK,Care,Extra Care,施华蔻生姜精华洗发露 舒缓型 600ml*12,12,-168.85,1428.0
2022/1/14 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 420ml - Y24,60,-293.6,3540.0
2022/1/14 0:00:00,SK,Care,Syoss Care,丝蕴净油蓬松洗发露 680ml - Y24,99,-313.28999999999996,7821.0
2022/1/14 0:00:00,SK,Care,Syoss Care,丝蕴水润顺滑洗发露 680ml,9,-125.84,711.0
2022/1/14 0:00:00,SK,Care,Syoss Care,丝蕴滋养修护洗发露 680ml,9,-377.53,711.0
2022/1/14 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳4-02,12,-48.47,1068.0
2022/1/14 0:00:00,SK,Coloration,Coloration,施华蔻斐丝丽泡泡染发乳5-68,36,-252.74,3204.0
